"LOC100631239"	"1869663"	"1"	"1881480"	"12"	
"LOC100418573"	"1846462"	"1"	"1881481"	"12"	
"LOC100507156"	"1864343"	"1"	"1881482"	"12"	
"RPS13P5"	"1877542"	"1"	"1881483"	"7"	
"LOC100130532"	"1844087"	"1"	"1881484"	"12"	
"TBC1D23"	"1858320"	"1"	"1881485"	"7"	
"RPL5P34"	"1847133"	"1"	"1881486"	"7"	
"LOC645862"	"1863896"	"1"	"1881487"	"9"	
"RPL26P33"	"1859383"	"1"	"1881488"	"8"	
"LOC100130522"	"1845397"	"1"	"1881489"	"12"	
"LOC100533710"	"1861539"	"1"	"1881490"	"12"	
"ERVMER34-1"	"1862318"	"1"	"1881491"	"10"	
"ORW3"	"1862329"	"1"	"1881492"	"4"	
"MSLNL"	"1840582"	"1"	"1881493"	"5"	
"LOC100418921"	"1864763"	"1"	"1881494"	"12"	
"RASA4P"	"1859776"	"1"	"1881495"	"6"	
"MIR548I3"	"1864342"	"1"	"1881496"	"8"	
"SFTPB"	"1858875"	"1"	"1881497"	"5"	
"AP2M1"	"1853335"	"1"	"1881498"	"5"	
"VN2R17P"	"1850431"	"1"	"1881499"	"7"	
"TRNAS27"	"1872921"	"1"	"1881500"	"7"	
"IHG1"	"1861392"	"1"	"1881501"	"4"	
"RFC4"	"1874232"	"1"	"1881502"	"4"	
"LOC100419161"	"1855419"	"1"	"1881503"	"12"	
"LOC100130044"	"1848935"	"1"	"1881504"	"12"	
"LSM6"	"1844343"	"1"	"1881505"	"4"	
"LOC100652930"	"1869398"	"1"	"1881506"	"12"	
"PKNOX1"	"1864033"	"1"	"1884765"	"6"	
"TMEM201"	"1868652"	"1"	"1884766"	"7"	
"C10ORF101"	"1858352"	"1"	"1884767"	"9"	
"CNDP2"	"1850390"	"1"	"1884768"	"5"	
"RPL21P43"	"1852197"	"1"	"1884769"	"8"	
"LOC401400"	"1867037"	"1"	"1884770"	"9"	
